company_id,date_joined,year_founded
189,24/06/2017,1919
848,01/06/2021,2019
556,15/02/2022,2011
999,17/11/2021,2020
396,21/10/2021,2021
931,24/09/2021,2020
364,01/02/2019,2015
732,27/01/2022,2017
906,10/06/2021,2017
72,23/01/2015,2006
983,22/08/2019,1999
898,25/01/2022,2015
844,07/07/2021,2018
894,06/12/2021,2020
813,10/08/2021,2017
743,24/12/2020,2015
226,24/01/2021,2020
963,05/10/2021,2017
764,07/12/2021,2018
839,28/12/2021,2016
1033,27/01/2021,2006
725,25/01/2022,2010
549,22/09/2021,2016
667,16/01/2015,2014
755,08/09/2021,2017
782,31/01/2022,2021
175,25/06/2019,2011
398,15/10/2021,2017
814,16/11/2021,2014
436,14/04/2017,2006
1046,16/06/2021,2014
565,21/04/2021,2013
781,31/08/2021,2018
997,06/12/2021,2011
194,18/03/2021,2001
249,29/06/2021,2019
434,19/05/2021,2014
1035,18/11/2021,2020
969,26/01/2022,2014
1018,18/02/2021,2011
355,14/09/2021,2017
934,17/03/2020,2011
1054,18/05/2021,2016
901,08/11/2021,2020
173,20/12/2021,2018
738,11/01/2022,2018
422,16/02/2022,2019
830,30/03/2021,2017
1004,24/05/2021,2016
951,06/03/2015,2011
734,27/01/2022,2012
1063,10/11/2021,2018
623,21/04/2015,2013
846,21/10/2019,2015
823,21/05/2019,2000
944,22/07/2021,2005
1030,09/08/2021,2019
824,14/04/2016,2012
930,22/02/2022,2017
370,09/07/2018,2010
618,18/10/2018,2009
456,29/01/2020,2016
893,02/09/2021,2020
812,31/03/2022,2019
1001,21/09/2020,2020
703,02/12/2021,2018
884,14/12/2021,2020
404,19/03/2021,2010
952,30/03/2022,2021
625,28/01/2020,2012
971,02/11/2021,2015
796,20/07/2017,2012
909,27/01/2022,2015
587,17/05/2018,2014
273,05/04/2022,2013
771,28/09/2021,2017
758,21/12/2021,2016
652,15/06/2021,2015
8,20/12/2017,2015
760,17/11/2020,2016
394,31/01/2022,2016
393,27/09/2021,2013
870,16/02/2021,2016
804,16/09/2021,2019
1041,02/11/2021,2015
443,17/03/2022,2017
978,07/01/2021,2015
612,31/12/2021,2016
714,17/10/2017,2021
925,21/03/2022,2012
421,16/11/2020,2009
449,03/07/2021,2019
1022,02/06/2021,2013
240,11/05/2016,2006
644,25/01/2021,2016
718,30/09/2021,2015
920,10/08/2021,2004
1048,30/09/2021,2014
1024,22/04/2021,2011
929,22/12/2021,2019
751,13/01/2022,2015
1012,23/10/2017,2015
863,07/12/2021,2019
662,21/12/2020,2015
1027,24/06/2021,2012
783,26/03/2021,2016
592,17/11/2021,2018
1023,26/01/2021,2018
1051,03/11/2021,2009
633,07/04/2021,2011
635,02/06/2021,2011
750,26/01/2022,2014
697,20/12/2021,2018
886,30/03/2021,2016
826,13/01/2022,2012
1000,12/01/2022,2016
740,16/03/2022,2016
798,11/02/2021,2017
1008,08/11/2021,2020
761,28/02/2022,2012
701,31/12/2020,2007
825,13/10/2021,2014
344,29/06/2021,2010
695,11/01/2022,2013
876,06/11/2018,2011
643,15/12/2021,2016
509,04/08/2021,2014
979,25/02/2021,2013
1031,07/10/2021,2017
817,04/05/2021,2014
943,22/03/2019,2014
975,30/04/2021,2015
647,10/12/2020,2000
426,26/01/2022,2015
705,07/12/2021,2018
724,24/01/2022,2008
464,17/03/2022,2019
942,20/04/2021,2018
354,05/12/2019,2011
688,15/05/2019,2015
1045,22/02/2022,2015
391,17/12/2021,2020
891,22/02/2022,2014
1066,21/09/2017,1997
579,06/10/2021,2018
686,28/07/2021,2014
822,28/12/2021,2021
882,16/06/2021,2013
816,22/02/2022,2001
369,01/03/2021,2015
340,13/01/2022,2017
1058,07/05/2019,2012
129,29/09/2020,1994
862,13/07/2021,2016
363,30/10/2017,2014
603,25/01/2021,2013
645,06/05/2021,2015
769,18/05/2021,2016
788,12/01/2022,2017
452,08/06/2021,2013
420,04/01/2022,2012
996,11/01/2022,2015
763,07/05/2021,2016
803,08/02/2022,2009
765,03/06/2021,2012
989,17/06/2020,2016
409,29/04/2021,2013
580,20/07/2021,2011
513,12/01/2022,2018
809,15/09/2021,2019
791,09/08/2021,2015
998,26/08/2021,2011
455,16/03/2021,2014
477,14/01/2021,2016
896,21/03/2022,2012
797,15/06/2021,2017
361,15/09/2021,2000
250,23/01/2018,2015
229,31/10/2017,2011
540,19/12/2018,2015
73,13/11/2018,2012
852,20/11/2018,2015
78,10/11/2020,2019
79,12/05/2021,1996
632,15/08/2016,1999
314,01/12/2021,2021
82,27/07/2021,2018
164,13/04/2021,2017
85,22/06/2016,2014
212,23/11/2020,2016
65,21/01/2020,2015
258,20/04/2018,2016
63,11/07/2018,2016
58,31/07/2017,2005
31,30/10/2019,2017
248,12/10/2017,2015
32,15/11/2018,2013
252,08/10/2020,2011
33,05/10/2018,2017
287,24/11/2020,2015
251,22/07/2019,2010
243,22/07/2019,2015
40,29/05/2018,2013
44,08/10/2021,2014
45,26/06/2018,2011
211,01/04/2014,1995
50,14/11/2018,2012
53,01/11/2021,2015
285,02/04/2018,2014
217,04/06/2018,2009
134,31/10/2018,2015
317,25/03/2021,2020
365,15/04/2019,2015
91,06/05/2019,2012
185,26/09/2017,2014
121,07/04/2016,2001
335,18/07/2019,2013
1014,09/04/2021,2019
191,23/12/2020,2017
334,27/02/2019,2011
118,02/04/2011,1994
115,29/07/2019,2012
113,18/05/2021,2014
147,16/12/2021,2008
136,04/08/2016,2013
130,05/04/2021,2015
321,04/09/2018,2016
327,11/03/2021,2017
641,16/07/2019,2011
352,01/01/2017,2012
972,17/10/2018,2016
201,08/04/2021,2015
168,29/11/2021,2019
104,22/09/2015,2010
171,26/02/2018,2012
350,01/11/2017,2012
101,27/07/2020,2017
239,14/01/2021,2011
1065,01/06/2021,2015
938,12/04/2016,2015
828,11/08/2021,2017
941,30/07/2020,2006
988,21/05/2018,2013
484,07/09/2021,2018
864,15/03/2022,2021
383,13/07/2021,2010
1060,13/10/2021,2017
595,13/02/2012,1999
840,27/11/2017,1990
290,14/09/2021,2008
742,14/01/2022,2014
964,17/08/2021,2014
712,14/02/2022,2017
837,09/03/2021,2016
583,17/11/2021,2014
411,14/06/2021,2018
430,20/05/2021,2016
875,01/02/2022,2018
810,22/02/2022,2019
805,13/09/2021,2015
953,30/11/2021,2019
606,13/05/2021,2009
679,29/06/2021,2015
907,29/03/2022,2016
880,01/07/2021,2018
834,20/05/2021,2016
542,18/10/2021,2016
1043,02/06/2021,1993
410,07/02/2013,2004
637,16/08/2021,2017
616,22/07/2015,2010
611,12/07/2021,2016
1064,14/09/2021,2014
1032,03/05/2018,2005
737,23/03/2022,2020
374,09/03/2015,2008
172,11/11/2014,2012
414,24/03/2021,2020
845,10/11/2021,2014
1055,29/06/2021,2010
416,15/09/2021,2018
682,16/03/2018,2006
967,16/11/2021,2021
551,06/02/2019,2012
491,27/10/2015,2014
446,02/09/2021,2012
982,15/12/2021,2020
850,06/04/2021,2013
928,12/10/2021,2017
380,02/12/2014,2007
451,03/05/2021,2004
987,09/11/2021,2012
842,25/08/2017,2008
620,29/10/2015,2001
356,25/03/2019,2015
872,22/01/2015,2011
417,20/07/2021,2010
427,16/09/2021,2019
255,09/03/2022,2012
397,19/05/2021,2016
857,23/06/2021,2014
588,21/04/2017,2009
1005,07/01/2021,2015
609,07/03/2022,2017
619,24/05/2021,2015
681,07/02/2022,2019
489,29/07/2021,2005
626,15/09/2021,2010
649,18/02/2021,2016
234,07/01/2021,2000
770,21/07/2021,2013
614,03/12/2020,2015
482,16/02/2022,2019
968,08/09/2015,2011
899,21/10/2021,2014
386,10/04/2017,2007
665,25/10/2019,2011
1039,05/05/2021,2016
800,09/12/2021,2010
457,01/02/2022,2019
676,04/08/2021,2018
1050,03/08/2021,2007
694,24/01/2022,2018
481,04/11/2021,2011
878,05/08/2021,2013
995,14/02/2022,2018
1034,17/02/2021,2017
855,09/09/2021,2018
345,14/04/2021,2015
691,08/07/2021,2014
860,16/03/2022,2008
511,23/09/2021,2016
704,04/11/2021,2016
881,16/12/2020,2014
747,27/03/2018,2011
861,17/05/2021,2019
407,10/11/2021,2016
858,04/10/2021,2018
749,16/12/2020,2015
841,11/07/2019,2014
282,13/07/2021,2013
1026,28/11/2021,2015
630,13/10/2021,2009
621,11/04/2021,2016
847,30/07/2015,2009
223,16/06/2021,2011
1009,07/01/2015,2000
563,01/08/2018,2011
476,07/11/2021,2011
970,06/04/2017,2012
990,09/09/2021,2017
728,25/04/2019,2013
415,27/12/2021,2016
956,05/07/2018,2014
418,25/05/2021,2012
892,07/10/2021,2019
991,18/11/2021,2016
1028,07/06/2016,2003
454,27/10/2021,2016
400,29/07/2021,2011
1042,12/04/2021,2012
753,07/12/2021,2015
911,18/11/2021,2016
819,22/06/2021,2012
507,10/08/2021,2012
910,22/03/2021,2012
756,04/11/2021,2018
480,02/02/2022,2014
405,13/07/2021,2008
683,14/08/2020,2012
959,08/12/2021,2011
954,07/06/2021,2015
203,16/04/2020,2016
170,26/05/2020,2015
698,26/01/2022,2019
790,03/02/2021,2008
962,09/09/2021,2017
865,10/03/2021,2015
461,19/03/2019,2014
670,08/06/2017,2015
529,14/03/2022,2019
634,25/03/2021,2017
897,09/11/2021,2014
924,16/08/2021,2007
768,13/09/2021,2013
707,10/02/2022,2016
673,19/01/2021,2016
1049,21/09/2021,2016
1017,09/02/2022,2009
856,13/04/2021,2017
1007,23/03/2022,2015
462,12/10/2021,2015
832,09/01/2020,2004
265,25/02/2021,2016
485,09/11/2021,2015
490,11/02/2020,2010
723,29/11/2021,2017
913,24/03/2021,2009
